亜,ア アシア,つぐ,Asia; rank next; come after; -ous
泣,キュウ,なく,cry; weep; moan
窮,キュウ キョウ,きわめる きわまる きわまり きわみ,hard up; destitute; suffer; perplexed; cornered
級,キュウ,,class; rank; grade
糾,キュウ,ただす,twist; ask; investigate; verify
拒,キョ ゴ,こばむ,repel; refuse; reject; decline
拠,キョ コ,よる,foothold; based on; follow; therefore
挙,キョ,あげる あがる こぞる,raise; plan; project; behavior; actions
虚,キョ コ,むなしい うつろ,void; emptiness; unpreparedness; crack; fissure; untruth
距,キョ,,long-distance
亨,コウ キョウ ホウ,たてまつる,undergo; answer (phone); take; get; catch
享,キョウ コウ,うける,receive; undergo; answer (phone); take; get; catch
凶,キョウ,,villain; evil; bad luck; disaster
匡,キョウ オウ,すくう,correct; save; assist
喬,キョウ,たかい,high; boasting
峡,キョウ コウ,はざま,gorge; ravine
恭,キョウ,うやうやしい,respect; reverent
狂,キョウ,くるう くるおしい くるおしい,lunatic; insane; crazy; confuse
狭,キョウ コウ,せまい せばめる せばまる さ,cramped; narrow; contract; tight
矯,キョウ,ためる,rectify; straighten; correct; reform; cure; control; pretend; falsify
脅,キョウ,おびやかす おどす おどかす,threaten; coerce
興,コウ キョウ,おこる おこす,entertain; revive; retrieve; interest; pleasure
郷,キョウ ゴウ,さと,home town; village; native place; district
鏡,キョウ ケイ,かがみ,mirror; speculum; barrel-head; round rice-cake offering
響,キョウ,ひびく,echo; also N5116; sound; resound; ring; vibrate
驚,キョウ,おどろく おどろかす,wonder; be surprised; frightened; amazed
仰,ギョウ コウ,あおぐ おおせ おっしゃる おっしゃる,face-up; look up; depend; seek; respect; rever; drink; take
凝,ギョウ,こる こらす こごらす こごらせる こごる,congeal; freeze; stiff; be absorbed in
尭,ギョウ,たかい,high; far
暁,ギョウ キョウ,あかつき さとる,daybreak; dawn; in the event
桐,トウ ドウ,きり,paulownia
錦,キン,にしき,brocade; fine dress; honors
斤,キン,おの,axe; 1.32 lb; catty
欣,キン ゴン コン,よろこぶ よろこび,take pleasure in; rejoice
欽,キン コン,つつしむ,respect; revere; long for
琴,キン,こと,harp; koto
筋,キン,すじ,muscle; sinew; tendon; fiber; plot; plan; descent
緊,キン,,tense; solid; hard; reliable; tight
菌,キン,,germ; fungus; bacteria
襟,キン,えり,collar; neck; lapel
謹,キン,つつしむ,discreet; reverently; humbly
吟,ギン,,versify; singing; recital
句,ク,,phrase; clause; sentence; passage; paragraph; counter for haiku
矩,ク,かね かねざし さしがね,ruler; carpenters square
駆,ク,かける かる,drive; run; gallop; advance; inspire; impel
駒,ク,こま,pony; horse; colt
愚,グ,おろか,foolish; folly; absurdity; stupid
虞,グ,おそれ,uneasiness; fear; anxiety; concern
遇,グウ,あう,interview; treat; entertain; receive; deal with
屈,クツ,かがむ かがめる,yield; bend; flinch; submit
熊,ユウ,くま,bear
栗,リツ リ,くり おののく,chestnut
繰,ソウ,くる,winding; reel; spin; turn (pages); look up; refer to
桑,ソウ,くわ,mulberry
勲,クン,いさお,meritorious deed; merit
薫,クン,かおる,fragrant; be scented; smoke (cigs)
郡,グン,こうり,county; district
