愛,アイ,いとしい,love; affection; favourite
再,サイ サ,ふたたび,again; twice; second time
最,サイ シュ,もっとも つま,utmost; most; extreme
妻,サイ,つま,wife; spouse
才,サイ,,genius; years old
採,サイ,とる,pick; take; fetch; take up
歳,サイ セイ,とし とせ よわい,year-end; age; occasion; opportunity
済,サイ セイ,すむ すまない すます すくう なす わたし わたる,finish; come to an end; excusable; need not
祭,サイ,まつる まつり まつり,ritual; offer prayers; celebrate; deify; enshrine; worship
細,サイ,ほそい ほそる こまか こまかい,dainty; get thin; taper; slender; narrow
菜,サイ,な,vegetable; side dish; greens
際,サイ,きわ,occasion; side; edge; verge; dangerous; adventurous; indecent; time; when
在,ザイ,ある,exist; outskirts; suburbs; located in
材,ザイ,,lumber; log; timber; wood; talent
罪,ザイ,つみ,guilt; sin; crime; fault; blame; offense
財,ザイ サイ ゾク,,property; money; wealth; assets
坂,ハン,さか,slope; incline; hill
咲,ショウ,さく,blossom; bloom
昨,サク,,yesterday; previous
冊,サツ サク,ふみ,tome; counter for books; volume
刷,サツ,する はく,printing; print
察,サツ,,guess; presume; surmise; judge; understand
札,サツ,ふだ,tag; paper money; counter for bonds; placard; bid
殺,サツ サイ セツ,ころす そぐ,kill; murder; butcher; slice off; split; diminish; reduce; spoil
雑,ザツ ゾウ,まじえる まじる,miscellaneous
皿,ベイ,さら,dish; a helping; plate
参,サン シン,まいる まい- まじわる みつ,nonplussed; three; going; coming; visiting; visit; be defeated; die; be madly in love
散,サン,ちる ちらす ちらかす ちらかる ばら,scatter; disperse; spend; squander
産,サン,うむ うまれる うぶ- むす,products; bear; give birth; yield; childbirth; native; property
算,サン,そろ,calculate; divining; number; abacus; probability
賛,サン,たすける たたえる,approve; praise; title or inscription on picture; assist; agree with
残,ザン サン,のこる のこす そこなう のこり,remainder; leftover; balance
伺,シ,うかがう,pay respects; visit; ask; inquire; question; implore
刺,シ,さす ささる さし さし とげ,thorn; pierce; stab; prick; sting; calling card
史,シ,,history; chronicle
市,シ,いち,market; city; town
師,シ,,expert; teacher; master; army; war
指,シ,ゆび さす,finger; point to; indicate; put into; play (chess); measure (ruler)
支,シ,ささえる つかえる かう しんよう じゅうまた,branch; support; sustain
枝,シ,えだ,bough; branch; twig; limb
糸,シ,いと,thread
脂,シ,あぶら,fat; grease; tallow; lard; rosin; gum; tar
詞,シ,,part of speech; words; poetry
誌,シ,,document; records
資,シ,,assets; resources; capital; funds; data; be conducive to; contribute to
歯,シ,よわい は よわい よわいする,tooth; cog
似,ジ,にる ひる,becoming; resemble; counterfeit; imitate; suitable
児,ジ ニ ゲイ,こ,newborn babe; child; young of animals
寺,ジ,てら,Buddhist temple
次,ジ シ,つぐ つぎ,next; order; sequence
治,ジ チ,おさめる おさまる なおる なおす,reign; be at peace; calm down; subdue; quell; govt; cure; heal; rule; conserve
示,ジ シ,しめす,show; indicate; point out; express; display
耳,ジ,みみ,ear
辞,ジ,やめる,resign; word; term; expression
式,シキ,,style; ceremony; rite; fn; method; system; form; expr
失,シツ,うしなう うせる,lose; error; fault; disadvantage; loss
湿,シツ シュウ,しめる しめす うるおう うるおす,damp; wet; moist
実,ジツ シツ,み みのる まこと まことに みの みちる,reality; truth
捨,シャ,すてる,discard; throw away; abandon; resign; reject; sacrifice
若,ジャク ニャク ニャ,わかい わか- もしくわ もし もしくは,young; if; perhaps; possibly; low number; immature
弱,ジャク,よわい よわる よわまる よわめる,weak; frail
取,シュ,とる とり とり- とり,take; fetch; take up
守,シュ ス,まもる まもり もり かみ,guard; protect; defend; obey
種,シュ,たね,species; kind; class; variety; seed
酒,シュ,さけ さか-,sake; alcohol
首,シュ,くび,neck
受,ジュ,うける うかる,accept; undergo; answer (phone); take; get; catch; receive
収,シュウ,おさめる おさまる,income; obtain; reap; pay; supply; store
周,シュウ,まわり,circumference; circuit; lap
州,シュウ ス,す,state; province
拾,シュウ ジュウ,ひろう,pick up; gather; find; go on foot; ten
舟,シュウ,ふね ふな-,boat; ship
柔,ジュウ ニュウ,やわらか やわらかい やわ やわら,tender; weakness; gentleness; softness
宿,シュク,やど やどる やどす,inn; lodging; relay station; dwell; lodge; be pregnant; home; dwelling
祝,シュク シュウ,いわう,celebrate; congratulate
術,ジュツ,すべ,art; technique; skill; means; trick; resources; magic
述,ジュツ,のべる,mention; state; speak; relate
準,ジュン,じゅんじる じゅんずる なぞらえる のり ひとしい みずもり,semi-; correspond to; proportionate to; conform; imitate
純,ジュン,,genuine; purity; innocence; net (profit)
順,ジュン,,obey; order; turn; right; docility; occasion
処,ショ,ところ おる,dispose; manage; deal with; sentence; condemn; act; behave; place
初,ショ,はじめ はじめて はつ はつ- うい-,first time; beginning
所,ショ,ところ どころ とこ,place
緒,ショ チョ,お いとぐち,thong; beginning; inception; end; cord; strap
署,ショ,,signature; govt office; police station
諸,ショ,もろ,various; many; several; together
助,ジョ,たすける たすかる すける すけ,help; rescue; assist
除,ジョ ジ,のぞく,exclude; division (x/3); remove; abolish; cancel; except
勝,ショウ,かつ まさる すぐれる かつ,victory; win; prevail; excel
召,ショウ,めす,seduce; call; send for; wear; put on; ride in; buy; eat; drink; catch (cold)
商,ショウ,あきなう,make a deal; selling; dealing in; merchant
将,ショウ ソウ,まさに はた まさ ひきいる もって,leader; commander; general; admiral; or; and again; soon; from now on; just about
床,ショウ,とこ ゆか,bed; floor; padding; tatami
承,ショウ,うけたまわる うける,aquiesce; hear; listen to; be informed; receive
招,ショウ,まねく,beckon; invite; summon; engage
昇,ショウ,のぼる,rise up
消,ショウ,きえる けす,extinguish; blow out; turn off; neutralize; cancel
焼,ショウ,やく やき やき- やける,bake; burning
照,ショウ,てる てらす てれる,illuminate; shine; compare; bashful
省,セイ ショウ,かえりみる はぶく,focus; government ministry; conserve
章,ショウ,,badge; chapter; composition; poem; design
笑,ショウ,わらう えむ,laugh
紹,ショウ,,introduce; inherit; help
象,ショウ ゾウ,かたどる,elephant; pattern after; imitate; image; shape; sign (of the times)
賞,ショウ,ほめる,prize; reward; praise
乗,ジョウ ショウ,のる のせる,ride; power; multiplication; record; counter for vehicles; board; mount; join
城,ジョウ,しろ,castle
常,ジョウ,つね とこ-,usual; ordinary; normal; regular
情,ジョウ セイ,なさけ,feelings; emotion; passion; sympathy; circumstances; facts
状,ジョウ,,status quo; conditions; circumstances; form; appearance
畳,ジョウ チョウ,たたむ たたみ かさなる,tatami mat; counter for tatami mats; fold; shut up; do away with
蒸,ジョウ セイ,むす むれる むらす,steam; heat; sultry; foment; get musty
植,ショク,うえる うわる,plant
職,ショク ソク,,post; employment; work
触,ショク,ふれる さわる さわ,contact; touch; feel; hit; proclaim; announce; conflict
伸,シン,のびる のばす のべる のす,expand; stretch; extend; lengthen; increase
信,シン,,faith; truth; fidelity; trust
寝,シン,ねる ねかす いぬ みたまや やめる,lie down; sleep; rest; bed; remain unsold
森,シン,もり,forest; woods
深,シン,ふかい ふかまる ふかめる み-,deep; heighten; intensify; strengthen
申,シン,もうす もうし- さる,speaketh; have the honor to; ninth sign of Chinese zodiac; sign of the monkey
神,シン ジン,かみ かん- こう-,gods; mind; soul
臣,シン ジン,,retainer; subject
身,シン,み,somebody; person; ones station in life
辛,シン,からい つらい かのと,spicy; bitter; hot; acrid
進,シン,すすむ すすめる,advance; proceed; progress; promote
針,シン,はり,needle; pin; staple; stinger
震,シン,ふるう ふるえる,quake; shake; tremble; quiver; shiver
吹,スイ,ふく,blow; breathe; puff; emit; smoke
数,スウ ス サク ソク シュ,かず かぞえる しばしば せめる わずらわしい,number; strength; fate; law; figures
制,セイ,,system; law; rule
勢,セイ ゼイ,いきおい はずみ,forces; energy; military strength
姓,セイ ショウ,,surname
性,セイ ショウ,さが,sex; gender; nature
成,セイ ジョウ,なる なす,turn into; become; get; grow; elapse; reach
政,セイ ショウ,まつりごと まん,politics; government
星,セイ ショウ,ほし,star; spot; dot; mark
晴,セイ,はれる はれ はれ- はらす,clear up
清,セイ ショウ シン,きよい きよまる きよめる,pure; purify; cleanse; exorcise; Manchu dynasty
精,セイ ショウ シヤウ,,refined; ghost; fairy; energy; vitality; semen; excellence; purity; skill
声,セイ ショウ,こえ こわ-,voice
静,セイ ジョウ,しず- しずか しずまる しずめる,quiet
税,ゼイ,,tax; duty
隻,セキ,,vessels; counter for ships; fish; birds; arrows; one of a pair
席,セキ,むしろ,seat; mat; occasion; place
昔,セキ シャク,むかし,once upon a time; antiquity; old times
石,セキ シャク コク,いし,stone
積,セキ,つむ つもる つもり,volume; product (x*y); acreage; contents; pile up; stack; load; amass
籍,セキ,,enroll; domiciliary register; membership
績,セキ,,exploits; unreeling cocoons
責,セキ,せめる,blame; condemn; censure
跡,セキ,あと,tracks; mark; print; impression
接,セツ ショウ,つぐ,touch; contact; adjoin; piece together
折,セツ,おる おり おり おれる,fold; break; fracture; bend; yield; submit
設,セツ,もうける,establishment; provision; prepare
説,セツ ゼイ,とく,rumor; opinion; theory
雪,セツ,ゆき,snow
絶,ゼツ,たえる たやす たつ,discontinue; beyond; sever; cut off; abstain; interrupt; suppress
占,セン,しめる うらなう,fortune telling; divine; forecast; occupy; hold; have; get; take
専,セン,もっぱら,specialty; exclusive; mainly; solely
戦,セン,いくさ たたかう おののく そよぐ わななく,war; battle; match
泉,セン,いずみ,spring; fountain
浅,セン,あさい,shallow; superficial; frivolous; wretched; shameful
洗,セン,あらう,wash; inquire into; probe
線,セン,すじ,line; track
船,セン,ふね ふな-,ship; boat
選,セン,えらぶ,elect; select; choose; prefer
然,ゼン ネン,しか しかり しかし さ,sort of thing; so; if so; in that case; well
全,ゼン,まったく すべて,whole; entire; all; complete; fulfill
祖,ソ,,ancestor; pioneer; founder
組,ソ,くむ くみ,association; braid; plait; construct; assemble; unite; cooperate; grapple
双,ソウ,ふた たぐい ならぶ ふたつ,pair; set; comparison; counter for pairs
層,ソウ,,stratum; social class; layer; story; floor
想,ソウ ソ,おもう,concept; think; idea; thought
捜,ソウ シュ シュウ,さがす,search; look for; locate
掃,ソウ シュ,はく,sweep; brush
燥,ソウ,はしゃぐ,parch; dry up
争,ソウ,あらそう いかでか,contend; dispute; argue
相,ソウ ショウ,あい-,inter-; mutual; together; each other; minister of state; councillor; aspect; phase; physiognomy
窓,ソウ ス,まど てんまど けむだし,window; pane
総,ソウ,すべて すべて ふさ,general; whole; all; full; total
草,ソウ,くさ くさ-,grass; weeds; herbs; pasture; write; draft
装,ソウ ショウ,よそおう よそおい,attire; dress; pretend; disguise; profess
像,ゾウ,,statue; picture; image; figure; portrait
増,ゾウ,ます まし ふえる ふやす,increase; add; augment; gain; promote
憎,ゾウ,にくむ にくい にくらしい にくしみ,hate; detest
